Player,Team,GP,GS,MINS,oPOSS,PTS,ORB,DRB,AST,STL,BLK,TOV,PF,PCT_FGA_trans,PCT_FGM_ast,TS.,eFG.,FGM,FGA,FG.,TPM,TPA,TP.,FTM,FTA,FT.,RIMM,RIMA,RIM.,MIDM,MIDA,MID.
KAMDYN.CURFMAN_VMI,VMI,2,2,81.467,142,15,2,3,0,0,0,2,3,0.273,0.6,0.327,0.295,5,22,0.227,3,14,0.214,2,2,1,2,6,0.333,0,2,0
KAMERON.GIBSON_Western Caro.,Western Caro.,4,3,103.848,205,49,0,7,3,2,1,3,10,0.258,0.706,0.745,0.742,17,31,0.548,12,22,0.545,3,4,0.75,3,4,0.75,2,5,0.4
KAMERON.LANGLEY_N.C. A&T,N.C. A&T,3,3,90.549,170,36,4,13,15,15,0,6,4,0.214,0.267,0.374,0.393,15,42,0.357,3,11,0.273,3,13,0.231,9,23,0.391,3,8,0.375
KAMERON.MCGUSTY_Miami (FL),Miami (FL),7,7,258.2,451,112,6,25,26,8,0,19,10,0.233,0.286,0.578,0.535,42,86,0.488,8,29,0.276,20,23,0.87,21,27,0.778,13,30,0.433
KAMRON.CUNNINGHAM_Mississippi Val.,Mississippi Val.,7,4,152.05,326,30,1,13,5,1,1,14,8,0.362,0.636,0.307,0.309,11,47,0.234,7,33,0.212,1,4,0.25,3,7,0.429,1,7,0.143
KAMRON.REAVES_Florida A&M,Florida A&M,7,7,197.266,376,60,0,14,11,6,1,20,28,0.163,0.667,0.53,0.48,18,49,0.367,11,28,0.393,13,16,0.812,1,3,0.333,6,18,0.333
KANE.MILLING_Nevada,Nevada,5,0,101.65,198,27,1,10,6,6,0,2,10,0.278,0.75,0.606,0.611,8,18,0.444,6,12,0.5,5,9,0.556,1,3,0.333,1,3,0.333
KANE.WILLIAMS_Georgia St.,Georgia St.,7,7,234.9,459,103,4,26,26,13,1,19,14,0.36,0.364,0.488,0.459,33,86,0.384,13,31,0.419,24,41,0.585,13,32,0.406,7,23,0.304
KANI.ACREE_Ball St.,Ball St.,5,0,108.667,214,12,4,13,14,0,1,4,8,0.222,1,0.294,0.194,3,18,0.167,1,9,0.111,5,5,1,1,5,0.2,1,4,0.25
KANON.KOSTER_South Dakota,South Dakota,4,1,36.182,72,2,0,4,1,1,0,2,4,0.5,1,0.5,0.5,1,2,0.5,0,1,0,0,0,0,1,1,1,0,0,0
KAODIRICHI.AKOBUNDUEHIOGU_UT Arlington,UT Arlington,4,3,91.465,164,19,11,11,0,0,10,2,12,0.2,0.625,0.739,0.8,8,10,0.8,0,0,0,3,6,0.5,7,8,0.875,1,2,0.5
KAOSI.EZEAGU_Kansas St.,Kansas St.,5,0,65.617,119,20,4,10,1,2,2,2,5,0.077,0.75,0.579,0.615,8,13,0.615,0,0,0,4,9,0.444,8,12,0.667,0,1,0
KAREEM.REID_Gardner-Webb,Gardner-Webb,2,2,47.032,82,10,8,4,1,0,1,2,5,0,0,0.503,0.556,5,9,0.556,0,0,0,0,2,0,5,9,0.556,0,0,0
KAREEM.THOMPSON_Oral Roberts,Oral Roberts,5,5,163.416,307,72,3,12,7,6,6,3,8,0.241,0.593,0.618,0.602,27,54,0.5,11,24,0.458,7,9,0.778,8,16,0.5,8,14,0.571
KARL.NICHOLAS_Texas Southern,Texas Southern,10,10,278.298,565,150,36,51,8,8,12,18,34,0.214,0.453,0.624,0.621,64,103,0.621,0,0,0,22,36,0.611,51,76,0.671,13,27,0.481
KARLIS.SILINS_Fla. Atlantic,Fla. Atlantic,6,6,139.901,269,79,10,21,4,3,6,11,22,0.2,0.667,0.653,0.65,30,50,0.6,5,14,0.357,14,22,0.636,20,26,0.769,5,10,0.5
KARRINGTON.WALLACE_Central Conn. St.,Central Conn. St.,2,0,54.449,105,14,4,7,4,0,5,3,0,0,0.833,0.639,0.6,6,10,0.6,0,1,0,2,2,1,5,6,0.833,1,3,0.333
KASEN.HARRISON_Lamar University,Lamar University,5,5,180.435,324,70,8,15,22,11,0,16,12,0.359,0.207,0.499,0.484,29,64,0.453,4,9,0.444,8,13,0.615,15,31,0.484,10,24,0.417
KASEN.JENNINGS_Kennesaw St.,Kennesaw St.,2,0,25.35,46,3,0,2,1,1,1,2,2,0.571,0,0.201,0.143,1,7,0.143,0,2,0,1,1,1,0,2,0,1,3,0.333
KASHAUN.HICKS_Norfolk St.,Norfolk St.,3,3,83.7,156,34,4,10,3,4,0,3,5,0.231,0.8,0.544,0.481,10,26,0.385,5,16,0.312,9,11,0.818,5,8,0.625,0,2,0
KASHAWN.CHARLES_Eastern Ill.,Eastern Ill.,1,0,10.6,19,5,0,1,0,1,0,1,1,0.833,0.5,0.417,0.417,2,6,0.333,1,5,0.2,0,0,0,1,1,1,0,0,0
KASPARAS.JONAUSKAS_Sacred Heart,Sacred Heart,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KASSIM.NICHOLSON_UAB,UAB,6,6,162.984,282,39,20,22,3,3,4,6,14,0.158,0.389,0.483,0.474,18,38,0.474,0,1,0,3,5,0.6,9,11,0.818,9,26,0.346
KAWANISE.WILKINS_Western Mich.,Western Mich.,3,0,41.6,75,11,2,8,1,1,0,4,1,0.083,0.6,0.425,0.417,5,12,0.417,0,1,0,1,2,0.5,3,8,0.375,2,3,0.667
KAYNE.HENRY_Jacksonville St.,Jacksonville St.,4,4,120.884,211,48,10,22,6,0,2,1,5,0.314,0.556,0.59,0.6,18,35,0.514,6,15,0.4,6,12,0.5,10,17,0.588,2,3,0.667
KAYO.GONCALVES_South Alabama,South Alabama,4,4,124.684,230,50,0,14,5,4,1,2,8,0.261,1,0.512,0.489,15,46,0.326,15,43,0.349,5,6,0.833,0,0,0,0,3,0
KC.HANKTON_Chattanooga,Chattanooga,2,2,61.566,111,10,1,9,3,4,2,0,5,0.176,0.6,0.294,0.294,5,17,0.294,0,7,0,0,0,0,3,6,0.5,2,4,0.5
KC.NDEFO_Saint Peter's,Saint Peter's,6,6,179.816,320,101,11,34,7,10,19,19,15,0.197,0.541,0.561,0.521,37,71,0.521,0,2,0,27,40,0.675,31,55,0.564,6,14,0.429
KD.JOHNSON_Georgia,Georgia,4,0,93.718,204,57,1,6,5,4,1,8,10,0.514,0.75,0.546,0.514,16,37,0.432,6,16,0.375,19,32,0.594,7,11,0.636,3,10,0.3
KEATON.HERVEY_Missouri St.,Missouri St.,4,4,129.865,225,37,4,19,1,2,2,5,14,0.15,0.636,0.747,0.725,11,20,0.55,7,9,0.778,8,10,0.8,3,7,0.429,1,4,0.25
KEATON.TURNER_Wofford,Wofford,1,0,0.95,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
KEATON.VAN.SOELEN_Air Force,Air Force,5,0,63.817,115,8,3,4,3,5,5,5,6,0.2,1,0.365,0.35,3,10,0.3,1,4,0.25,1,2,0.5,2,4,0.5,0,2,0
KEATON.WALLACE_UTSA,UTSA,4,4,139.183,256,91,3,29,15,4,3,10,8,0.324,0.378,0.608,0.606,37,71,0.521,12,31,0.387,5,8,0.625,12,17,0.706,13,23,0.565
KEDRIAN.JOHNSON_West Virginia,West Virginia,6,0,43.068,84,7,3,1,4,1,0,2,8,0.25,1,0.511,0.25,1,4,0.25,0,1,0,5,6,0.833,1,3,0.333,0,0,0
KEEGAN.HARVEY_Col. of Charleston,Col. of Charleston,1,0,12.433,21,6,3,5,1,0,0,0,0,0.25,1,0.75,0.75,2,4,0.5,2,3,0.667,0,0,0,0,1,0,0,0,0
KEEGAN.MCDOWELL_Liberty,Liberty,6,0,122.032,212,38,0,11,8,1,0,4,9,0.121,0.929,0.56,0.545,14,33,0.424,8,24,0.333,2,2,1,1,2,0.5,5,7,0.714
KEEGAN.MURRAY_Iowa,Iowa,8,0,150.232,282,62,10,27,4,4,13,3,16,0.404,0.72,0.546,0.519,25,52,0.481,4,16,0.25,8,10,0.8,13,23,0.565,8,13,0.615
KEEGAN.RECORDS_Colgate,Colgate,4,4,98.933,186,50,12,11,4,2,6,2,11,0.143,0.619,0.509,0.5,21,42,0.5,0,0,0,8,15,0.533,20,37,0.541,1,5,0.2
KEENAN.WORTHINGTON_Duke,Duke,2,0,0.517,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEENON.COLE_Northern Ill.,Northern Ill.,3,0,22.249,44,2,0,3,0,0,0,0,2,0,0,0.154,0.167,1,6,0.167,0,1,0,0,1,0,1,4,0.25,0,1,0
KEESHAWN.BARTHELEMY_Colorado,Colorado,7,1,61.333,113,23,0,3,3,3,0,8,1,0.333,0.778,0.426,0.426,9,27,0.333,5,14,0.357,0,0,0,3,6,0.5,1,7,0.143
KEION.BROOKS_Kentucky,Kentucky,4,0,77.734,148,37,9,16,5,0,1,7,10,0.188,0.533,0.517,0.469,15,32,0.469,0,4,0,7,8,0.875,5,12,0.417,10,16,0.625
KEISHAWN.BREWTON_Buffalo,Buffalo,1,0,3.733,7,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0
KEISHAWN.DAVIDSON_Tennessee Tech,Tennessee Tech,2,2,71.384,134,36,1,4,9,3,0,6,1,0.167,0.846,0.659,0.625,13,24,0.542,4,8,0.5,6,7,0.857,3,3,1,6,13,0.462
